File Name,waist,width
rand_3QYVVAPR1Z_render_front.jpg,1.0,0.43844966614806613
rand_WHT1OBOWZE_render_front.jpg,1.0,0.2
rand_G6SSN6V8LN_render_front.jpg,1.0,0.2
rand_113NBSX2YK_render_front.jpg,1.0,0.2
rand_BNDLVRRDVL_render_front.jpg,1.0,0.4302223235050562
rand_Q9W8967EGI_render_front.jpg,1.1083607978996644,0.2
rand_N7G4ECZJ7Y_render_front.jpg,1.0691275063318884,0.2
rand_DYXSF1X4ZY_render_front.jpg,1.0,0.30888855534937076
rand_DF6WD12TTY_render_front.jpg,1.0,0.2
rand_RQP83XID3E_render_front.jpg,1.0,0.2
rand_XY8XO3LN58_render_front.jpg,1.0,0.2
rand_ABHE8ICRFU_render_front.jpg,1.1216314522050344,0.2
rand_IU3O96IQM7_render_front.jpg,1.0,0.719455852403901
rand_D8RGQ63663_render_front.jpg,1.9405512368633027,0.7010898266930063
rand_9Y2QUOB7C9_render_front.jpg,1.0,0.15813154766645823
rand_GKTDGOUG58_render_front.jpg,1.0,0.2
rand_J2MTP5SDPK_render_front.jpg,1.0873480379227625,0.7995875576602053
rand_IC1QXGZ6Q9_render_front.jpg,1.0,0.2
rand_RLS9AQKAUE_render_front.jpg,1.0,0.14624904048044823
rand_7ZP45XYGON_render_front.jpg,1.0,0.2
rand_4SQ28282EI_render_front.jpg,1.0,0.42462964402564274
rand_W9SHI7NY7E_render_front.jpg,1.2823982680458785,0.17470275570441793
rand_0HSJBH42VZ_render_front.jpg,1.9573278628953186,0.3967336478686787
rand_SZMMLUPR1E_render_front.jpg,1.1896932071097928,0.2
rand_5EUREMVS4V_render_front.jpg,1.8991233976940993,0.2
rand_PWPDI4ZIWY_render_front.jpg,1.0,0.9180367716404902
rand_BWCGM9ATHV_render_front.jpg,1.0284811181677282,0.40882838042665726
rand_CML83OF0KY_render_front.jpg,1.0,0.2
rand_IP5376LSKU_render_front.jpg,1.0,0.11941271047985053
rand_4UNNOBHCOD_render_front.jpg,1.0,0.2
rand_JRB0G1NH5C_render_front.jpg,1.0,0.3538963333520191
rand_Y7FVKA6OHI_render_front.jpg,1.0,0.2
rand_MSEDKJF50D_render_front.jpg,1.0,0.18335884675028602
rand_XDX2N1D6CI_render_front.jpg,1.5444510760682486,0.2
rand_ECO6VX0MF8_render_front.jpg,1.0,0.2
rand_9XBR2LLQ2S_render_front.jpg,1.0,0.5422255087473326
rand_7PRKJMJS7T_render_front.jpg,1.0,0.7623795996532382
rand_WWG6LLXRA6_render_front.jpg,1.0,0.5897931592599631
rand_EVWGEZ96TJ_render_front.jpg,1.0,0.2
rand_UHVPIBEH5B_render_front.jpg,1.0,0.6041087693459837
rand_ELX6PGWAER_render_front.jpg,1.0,0.2
rand_B3S5T029OW_render_front.jpg,1.0,0.2
rand_EW1S5FHQLI_render_front.jpg,1.0,0.2
rand_L8JPIDR16V_render_front.jpg,1.0,0.2
rand_83LPY6W2OE_render_front.jpg,1.0,0.2
rand_AZ07TY2MJU_render_front.jpg,1.0,0.2
rand_5ENCFLKTFI_render_front.jpg,1.0,0.2
rand_RSW151WP0G_render_front.jpg,1.0,0.2
rand_1ROH7FK4DC_render_front.jpg,1.0,0.2
rand_3MN40XII0W_render_front.jpg,1.0,0.2
rand_TCGF6JCAOL_render_front.jpg,1.0,0.2
rand_TP48HNAMJ2_render_front.jpg,1.0,0.2
